outcome,effect,source,midpoint_prediction,midpoint_prediction_sd,midpoint_seeds,positional_prediction,positional_prediction_sd,positional_seeds,affine_bvse_prediction,affine_bvse_prediction_sd,affine_bvse_seeds,bvse_delta_prediction,bvse_delta_prediction_sd,bvse_delta_seeds,dft_barrier,midpoint_absolute_error,positional_absolute_error,delta_pos,affine_bvse_absolute_error,bvse_delta_absolute_error,delta_bvse,dft_path_length,dft_endpoint_displacement,dft_tortuosity,dft_bottleneck_mean_k_distance,dft_bottleneck_path_coordinate,dft_coordination_at_bottleneck,dft_smooth_coordination_at_bottleneck,dft_coordination_range,dft_smooth_coordination_range,composition_family,anion_family,em_bvse,bvse_path_length,bvse_endpoint_displacement,bvse_tortuosity,bvse_bottleneck_mean_k_distance,bvse_bottleneck_path_coordinate,bvse_coordination_at_bottleneck,bvse_smooth_coordination_at_bottleneck,bvse_coordination_range,bvse_smooth_coordination_range
delta_pos,largest_harm,nebDFT2k:mp-760344_10_9_0_0_1,1.9378758430480958,0.23539831007442033,10,2.8817732095718385,0.3668284733584549,10,1.265184225330535,0.0,10,2.042762541770935,0.27795322210595863,10,1.8200701331357578,0.11780570991233796,1.0617030764360806,-0.9438973665237427,0.5548859078052228,0.22269240863517714,0.3321934991700457,6.2687649937701675,5.404150968804928,1.159990723789206,1.9898510618022651,0.7019960572220975,11.0,1.0663982966281644,4.0,0.501940484081691,Li7C4O28Na4P4Co4,O,2.421132395675313,6.592542532138372,5.587874354422952,1.1797943393126225,1.8653143532312093,0.3239164992927507,9.0,1.2255376571595604,5.0,0.5812260720415018
delta_pos,largest_harm,nebDFT2k:mp-1202443_0_6_0_0_1,1.7236428797245025,0.45216534980858475,10,0.9406061708927155,0.1259077299185933,10,0.9472833463384485,0.0,10,1.2075319647789002,0.07824167904575743,10,1.9113331924867794,0.18769031276227688,0.9707270215940639,-0.783036708831787,0.9640498461483309,0.7038012277078791,0.2602486184404518,7.5671730988881505,4.977406996456156,1.5203042677192906,1.9846232010593183,0.0,8.0,0.9170842690191944,5.0,0.4080187427491333,Li15O120Ge56,O,1.6245705508540969,7.845822434175089,4.98741565396895,1.573123833769788,1.9874190476662457,0.1681511462171683,10.0,0.959810836927948,3.0,0.5500785561384797
delta_pos,largest_harm,nebDFT2k:mp-1020056_2_2_1_1_0,1.5922298789024354,0.544522937230159,10,2.2594040513038633,0.3088958221388239,10,1.378566085915626,0.0,10,2.4072279214859007,0.3200497155977646,10,1.4526391147018671,0.13959076420056826,0.8067649366019962,-0.667174172401428,0.07407302878624122,0.9545888067840336,-0.8805157779977923,5.714277095259645,5.181886004443156,1.1027407956022182,2.0514146681868572,0.6026903774600298,10.0,0.9243700106680884,5.0,0.2543929791252475,Li15N80Si32Ca48,N,2.705232472162268,5.537276566797638,5.1818860013966805,1.0685832465834193,1.8489417116981797,0.6618191866650972,10.0,1.2845564637922642,6.0,0.523561010372799
delta_pos,largest_harm,nebDFT2k:mp-26721_0_1_0_0_0,1.415192437171936,0.2186374284912573,10,0.5030007064342499,0.09160572080904532,10,0.49802941860758787,0.0,10,0.3745680510997772,0.10524680755769154,10,1.2890585620700676,0.12613387510186835,0.7860578556358178,-0.6599239805339494,0.7910291434624798,0.9144905109702904,-0.12346136750781067,5.767529559749699,4.943971860280308,1.1665781526965846,2.0018152567465224,0.0962815425615509,7.0,0.8035476750154936,3.0,0.2716706642031019,Li15O64P16Nb8,O,0.4988783583660745,6.227703717146111,4.9238092505207245,1.2648141713628511,2.0342932019652165,0.0,7.0,0.8319187851565389,5.0,0.391280114094622
delta_pos,largest_harm,nebDFT2k:mp-772658_3_3_1_0_0,1.4191061735153199,0.5212036383882392,10,0.8545012414455414,0.13515864591160867,10,1.005878738334525,0.0,10,1.1527736902236938,0.13495672596828198,10,1.7210608815584578,0.30195470804313795,0.8665596401129164,-0.5646049320697785,0.7151821432239329,0.568287191334764,0.1468949518891689,6.815861019375834,5.023898382073052,1.3566876757892046,2.05157092941915,0.6977113117852671,10.0,0.8380158013051269,4.0,0.1291337578660805,Li17O96V24Mn14,O,1.7713925844842044,7.162810056860545,5.024009,1.425716008243724,1.9509939911685188,0.1706935719834948,8.0,0.8860880133162445,6.0,0.1896354561273008
delta_pos,largest_harm,nebDFT2k:mp-772981_1_2_0_0_0,1.7140601217746734,0.3965879624381947,10,1.164497148990631,1.137847669402328,10,1.3535220541769883,0.0,10,1.3690446436405181,0.44386566289315493,10,3.0772073401667797,1.3631472183921063,1.9127101911761486,-0.5495629727840423,1.7236852859897913,1.7081626965262615,0.015522589463529801,6.172118219856882,5.869780699701077,1.0515074643540263,1.9228876812975324,0.5292905399901744,7.0,1.107099687625525,7.0,0.3917391753102639,Li3O32Zn6Ge12,O,2.642479829933849,6.371111389683551,5.891148418927562,1.0814718857216234,1.8188314649169364,0.4970159104833898,7.0,1.4251902617780836,7.0,0.7233294836012616
delta_pos,largest_harm,nebDFT2k:mp-765964_0_6_1_0_0,1.1868966221809387,0.17431138293313642,10,1.6805315017700195,0.2406832688332559,10,1.0243783869852263,0.0,10,1.3561726927757263,0.24038265796588895,10,1.0074282938448391,0.1794683283360996,0.6731032079251804,-0.4936348795890808,0.0169500931403872,0.34874439893088716,-0.33179430579049995,4.530037698165633,4.256614499459573,1.0642348981193326,2.0522411169169583,0.0,8.0,0.7428131465853557,3.0,0.1086950157673646,Li31O112Si32V16,O,1.8177470151623096,4.732139462225401,4.269139463825761,1.1084527695388815,1.8395872951500296,0.5131765779577369,10.0,1.20591259851492,2.0,0.4887264826901557
delta_pos,largest_harm,nebDFT2k:mp-763177_1_3_0_1_-1,0.5448391795158386,0.14305056656626583,10,1.003964638710022,0.24749953550324738,10,0.6471002417036935,0.0,10,0.7579331338405609,0.2055914772374038,10,0.459736825526761,0.08510235398907762,0.5442278131832611,-0.45912545919418346,0.18736341617693253,0.29819630831379995,-0.11083289213686742,2.6316245822025044,2.5082501557883936,1.049187448919078,1.966802793813932,0.4753757359992597,8.0,0.9770901505492272,5.0,0.0817144871773096,Li63O64F32V32,O+F,0.8724040001665392,3.0190916432002513,2.874600156675127,1.0502648989945955,1.8328251849003143,0.4938621921713977,7.0,1.1758498686603829,4.0,0.301354388493728
delta_pos,largest_harm,nebDFT2k:mp-1177804_0_1_0_0_1,1.6483089685440064,0.36505007908896564,10,2.1646708250045776,0.20874800416940764,10,1.788925969929026,0.0,10,2.0314053177833555,0.30224217608054715,10,1.6887457253068874,0.04043675676288094,0.47592509969769026,-0.4354883429348093,0.1001802446221387,0.34265959247646816,-0.24247934785432945,5.083584863143663,4.996194166355374,1.0174914532699275,1.9991569931381612,0.2619111632910431,7.0,0.9309226164908512,7.0,0.1557289240827727,Li47O96V24Co24,O,3.7334681514303054,5.445807564371832,5.096676593547174,1.0685016921157384,1.5545754837428198,0.5043710869031997,10.0,1.6959752775304684,10.0,0.730784798080819
delta_pos,largest_harm,nebDFT2k:mp-1306251_7_5_1_1_0,1.6956409573554994,0.18970851173377692,10,1.0199448823928834,0.11578342311627879,10,0.6322725813562635,0.0,10,1.187491202354431,0.24651415035318064,10,1.5467144388152292,0.14892651854027017,0.5267695564223458,-0.3778430378820756,0.9144418574589657,0.3592232364607981,0.5552186209981675,4.1105392033411,4.108071982072011,1.0006005788797898,2.068282918331473,0.2491920243703554,9.0,0.9065642620038652,3.0,0.1012667851189503,Li71O72Mn12Fe24,O,0.8352504430006114,3.961477645371546,3.956117636354042,1.001354865934281,1.924738101690293,0.7523780624881191,12.0,1.241535762450359,2.0,0.2527662033008468
