source,trajectory_source,edge_reconstruction,bvse_profile_volume_min,bvse_profile_volume_max,bvse_profile_volume_range,bvse_profile_volume_s_min,bvse_profile_volume_s_max,bvse_profile_volume_asymmetry,bvse_profile_effective_cn_min,bvse_profile_effective_cn_max,bvse_profile_effective_cn_range,bvse_profile_effective_cn_s_min,bvse_profile_effective_cn_s_max,bvse_profile_effective_cn_asymmetry,bvse_profile_mean_rc_min,bvse_profile_mean_rc_max,bvse_profile_mean_rc_range,bvse_profile_mean_rc_s_min,bvse_profile_mean_rc_s_max,bvse_profile_mean_rc_asymmetry,bvse_profile_weighted_mean_oxi_min,bvse_profile_weighted_mean_oxi_max,bvse_profile_weighted_mean_oxi_range,bvse_profile_weighted_mean_oxi_s_min,bvse_profile_weighted_mean_oxi_s_max,bvse_profile_weighted_mean_oxi_asymmetry,profile_oxidation_status,descriptor_status
nebDFT2k:mp-1020056_0_0_1_1_0,init,final Li endpoint appended to initial NEB image,9.111548007445327,13.050527901331384,3.9389798938860565,0.5043981809591958,1.0,-0.008093713241369649,8.732590154776334,12.79474524834544,4.062155093569105,0.5043981809591958,1.0,-0.0016367591520012326,1.0254545454545452,1.0955555555555554,0.07010101010101022,0.5043981809591958,0.0,0.0004161178877490901,-1.1285368897811532,-0.235835536648657,0.8927013531324962,0.0,0.5043981809591958,0.0012421566174496412,ok,ok
nebDFT2k:mp-1020056_0_2_1_0_0,init,final Li endpoint appended to initial NEB image,13.059370256382707,14.307467418257934,1.2480971618752275,1.0,0.25164162524898137,0.23573438221301846,9.627120344942647,11.377099321592587,1.74997897664994,0.7517040354031505,0.0,0.482181142914901,1.0055555555555555,1.0810000000000002,0.07544444444444465,0.7517040354031505,0.25164162524898137,0.01878709340486595,-1.5375905158454934,-1.2750228529221046,0.26256766292338884,0.5021748725355212,1.0,-0.009626991419762199,ok,ok
nebDFT2k:mp-1020056_2_2_1_1_0,init,final Li endpoint appended to initial NEB image,8.645986568511567,12.404869129045949,3.7588825605343814,0.4942569320351731,0.0,0.0001060404461910025,7.809146919057467,11.26254883532561,3.4534019162681435,0.4942569320351731,1.0,-0.0030258912894822743,0.9991666666666666,1.0955555555555556,0.09638888888888897,0.4942569320351731,1.0,-0.00046753282755762626,-1.0843272261898733,-0.33031964708013917,0.7540075791097341,0.0,0.4942569320351731,0.0009573508434534417,ok,ok
nebDFT2k:mp-1147726_4_6_1_0_0,init,final Li endpoint appended to initial NEB image,21.75964290783021,22.379364556035245,0.6197216482050365,0.0,0.46470771630462393,-0.02120244808430094,5.848724180045578,7.477096069500326,1.6283718894547476,0.0,0.46470771630462393,0.1612942739446308,1.086923076923077,1.1300000000000001,0.04307692307692301,0.7665307550735317,0.46470771630462393,0.006367458219450506,-1.8392093994417245,-1.5967578695290325,0.24245152991269192,1.0,0.46470771630462393,0.04110064504938438,ok,ok
nebDFT2k:mp-1174212_5_7_0_0_0,init,final Li endpoint appended to initial NEB image,8.779886243751884,9.48340156289042,0.7035153191385355,0.5030924721755888,0.0,0.09146885546872596,7.215408538594641,7.632082378446034,0.41667383985139317,1.0,0.2502054868815051,0.0441122240666898,0.7633333333333333,1.0279999999999998,0.2646666666666665,0.5030924721755888,0.0,0.017949589636564345,-1.7621753301805725,-1.2579034813582863,0.5042718488222862,1.0,0.5030924721755888,0.007978866096647552,ok,ok
nebDFT2k:mp-1175313_9_13_0_0_0,init,final Li endpoint appended to initial NEB image,9.839801464444266,10.359536748322263,0.5197352838779974,1.0,0.0,0.16660035373464765,6.774986761625584,8.011399821579387,1.2364130599538026,1.0,0.2525426736085331,0.3336523655547179,0.8739999999999999,1.0570588235294116,0.18305882352941172,0.5034095057300491,1.0,-0.015916930792330253,-1.8386332925858848,-1.2843326605463556,0.5543006320395292,1.0,0.5034095057300491,0.05432225980157823,ok,ok
nebDFT2k:mp-1175624_0_3_0_1_0,init,final Li endpoint appended to initial NEB image,9.261652971942876,9.882567231981854,0.6209142600389779,0.49918944151044425,1.0,-0.03795142599217094,7.180139826976254,7.494348054895413,0.3142082279191589,1.0,0.2456674148851086,0.028357098793511337,0.8342857142857143,1.005,0.1707142857142856,0.49918944151044425,0.0,0.006880813145108411,-1.7554144660759647,-1.2792722391193263,0.47614222695663844,1.0,0.49918944151044425,0.005356949382205101,ok,ok
nebDFT2k:mp-1175840_1_1_1_0_0,init,final Li endpoint appended to initial NEB image,6.106150356679681,9.584644214694041,3.4784938580143603,0.49789360207784,1.0,0.07260870095137673,6.860981134952349,8.658757257434774,1.797776122482425,0.6639732767783407,0.1659075806518142,0.22940371125794057,0.8459999999999999,1.00625,0.16025000000000023,0.33271417941532677,0.0,-0.013225904781697218,-1.7186190433609954,-0.4901993581091909,1.2284196852518043,1.0,0.49789360207784,0.012018229424734184,ok,ok
nebDFT2k:mp-1176566_0_2_0_0_0,init,final Li endpoint appended to initial NEB image,9.396245061605978,9.604320657072055,0.20807559546607735,0.0,0.24926476298864758,0.0005309014061571915,6.041170230492448,6.793654173411852,0.7524839429194037,0.5008374464748752,0.0,0.0017398349552575354,0.8753333333333334,0.9337500000000001,0.05841666666666667,0.5008374464748752,0.0,5.004760513427353e-05,-1.8571255784905758,-1.6701065468509952,0.18701903163958056,0.7511913609601921,0.5008374464748752,1.1929304261082407e-05,ok,ok
nebDFT2k:mp-1176566_0_2_0_1_0,init,final Li endpoint appended to initial NEB image,7.034823427850242,9.319983488524585,2.285160060674343,0.5098169977975152,0.0,0.03095526390597314,7.0473524716956675,8.193428992857067,1.1460765211613992,0.17134556067787457,0.5098169977975152,-0.12682760450656572,0.8357142857142856,0.9900000000000001,0.15428571428571447,0.6750640168143751,0.17134556067787457,0.010473556741271317,-1.7045386687739645,-0.5439367047801352,1.1606019639938294,1.0,0.5098169977975152,-0.03605907219441595,ok,ok
